object_id,object_name,description,type,subtype
779,wp-content, ,CMS, 
103,detectmobilebrowser, ,JS library or Framework, 
734,fontawesome-webfont, ,Font, 
984,bootstrap, ,JS library or Framework, 
218,css, ,css, 
744,html, ,html, 
938,None, ,none, 
639,video, ,video, 
634,google-analytics, ,Third party analytics,
212,cloudfront, ,CDN, 
927,recaptcha, ,Third party security, 
33,gstatic, ,Third party service, 
422,accounts.google, ,Third party authentication, 
804,octet-stream, ,octet-stream, 
252,binary, ,binary, 
90,jquery, ,JS library or Framework, 
423,googletagmanager, ,Third party service, 
435,tubeskagos, ,Advertisement
547,pogothere, ,Advertisement
51,ntoftheusysianedt, ,Advertisement, 
863,practicalwhich, ,Advertisement, 
135,champaup, ,JS library or Framework, 
578,slide, ,JS library or Framework, 
404,jwplayer, ,Video Player, 
443,tsfiles, ,Video, 
959,star-rating, ,JS library or Framework, 
658,md5, ,JS library or Framework, 
682,unmistisdune, ,Advertisement, 
279,gulsachpyrexia, ,Advertisement, 
485,classic-themes, ,JS library or Framework, 
896,decrypted_player-v1, ,JS library or Framework, 
586,facebook, ,Social media, 
434,psbar, ,JS library or Framework, 
438,streamvid, ,Third party service, 
569,cdn, ,CDN, 
977,adfinity, ,Advertisement, 
73,googlesyndication, ,Advertisement, 
5,wp-includes, ,CMS, 
50,yadro, ,Advertisement, 
546,wp-content, ,CMS, 
130,yandex, ,bot, 
730,escape-html, ,JS library or Framework, 
45,adfox, ,Advertisement, 
217,cookie, ,cookie, 
315,acint, ,Third party analytics, 
771,yastatic, ,Third party analytics, 
59,googleads, ,Advertisement, 
381,ssp-rtb.sape, ,Advertisement, 
782,webvisor, ,Third party analytics, 
675,wp-rocket, ,CMS, 
251,lazyload, ,JS library or Framework, 
452,escape-html, ,JS library or Framework, 
802,plyr, ,JS library or Framework, 
976,regenerator-runtime, ,JS library or Framework, 
178,fonts.googleapis, ,Font, 
7,googleapis, ,Third party service,  
513,react-dom, ,JS library or Framework, 
66,pagead2, ,Advertisement, 
803,googleadservices, ,Advertisement, 
787,wp-emoji-release, ,JS library or Framework, 
76,adservice, ,Advertisement, 
156,jsdelivr, ,CDN,
779,react, ,JS library or Framework, 
275,element, ,JS library or Framework, 
539,lazysizes, ,JS library or Framework, 
376,notix, ,Advertisement, 
510,rtmark, ,Advertisement, 
387,register-sw, ,JS library or Framework, 
383,redux-framework, ,JS library or Framework, 
460,onlombreor, ,Advertisement, 
517,imagesloaded, ,JS library or Framework, 
878,chatango, ,Chat support, 
716,bedrapiona, ,Advertisement, 
184,modificationdispatch, ,Third party service, 
919,images, ,Images/GIFs, 
277,img, ,Images/GIFs, 
946,image, ,Images/GIFs, 
58,vingartisticta, ,Advertisement, 
26,maxcdn, ,CDN, 
375,youtube, ,Social media,
570,scorecardresearch, ,Third party analytics, 
980,stats.g, ,Third party analytics, 
733,yt3.ggpht, ,Advertisement, 
552,impactradius-go, ,Advertisement, 
112,fubotv.pxf, ,Third party service, 
498,spo-play, ,CDN, 
932,taboola, ,CDN, 
334,iclickcdn, ,CDN, 
307,dudialgator, ,Advertisement, 
